15,0
3,33,0
3,27,0
3,21,0
3,15,0
3,09,0
3,03,0
2,97,0
2,91,0
2,85,0
2,79,0
2,73,0
2,67,0
2,61,0
2,55,0
2,49,0
2,43,0
2,37,0
2,31,0
2,25,0
2,19,0
2,13,0
2,07,0
2,01,0
1,95,0
1,89,0
1,83,0
1,77,0
1,71,0
1,65,0
1,59,0
1,53,0
1,47,0
1,41,0
1,35,0
1,29,0
1,23,0
1,17,0
1,11,0
1,05,0
0,99,0
0,93,0
0,87,0
0,81,0
0,75,0
0,69,0
0,63,0
0,57,0
0,51,0
0,45,0
0,39,0
0,33,0
0,27,0
0,21,0
0,15,0
0,0899999999999999,0
0,0299999999999998,0
-0,0300000000000002,0
-0,0900000000000003,0
-0,15,0
-0,21,0
-0,27,0
-0,33,0
-0,39,0
-0,45,0
-0,51,1500
-0,57,2000
-0,63,7500
-0,69,4500
-0,75,10500
-0,81,6500
-0,870000000000001,4500
-0,93,4500
-0,990000000000001,7000
-1,05,2000
-1,11,7500
-1,17,5000
-1,23,11500
-1,29,8500
-1,35,13500
-1,41,6500
-1,47,22500
-1,53,8000
-1,59,20500
-1,65,17000
-1,71,43500
-1,77,30500
-1,83,63500
-1,89,43000
-1,95,120000
-2,01,206500
-2,07,143500
-2,13,223500
-2,19,554000
-2,25,734500
-2,31,430000
-2,37,378500
-2,43,892500
-2,49,672000
-2,55,335500
-2,61,200000
-2,67,349000
-2,73,214000
-2,79,69500
-2,85,57000
-2,91,52500
-2,97,31000
-3,03,7500
-3,09,6000
-3,15,9000
-3,21,2000
-3,27,2500
-3,33,2000
-3,39,2500
-3,45,2000
-3,51,500
-3,57,1000
-3,63,500
-3,69,500
-3,75,2000
-3,81,6500
-3,87,1000
-3,93,0
-3,99,4000
-4,05,2500
-4,11,2000
-4,17,5500
-4,23,5000
-4,29,3500
-4,35,10000
-4,41,4500
-4,47,12000
-4,53,20000
-4,59,14500
-4,65,29500
-4,71,17500
-4,77,23500
-4,83,44500
-4,89,21500
-4,95,37000
-5,01,32500
-5,07,14500
-5,13,13000
-5,19,6500
-5,25,5000
-5,31,7000
-5,37,1000
-5,43,1500
-5,49,1000
-5,55,0
-5,61,0
-5,67,0
-5,73,0
-5,79,0
-5,85,1000
-5,91,1500
-5,97,500
-6,03,0
-6,09,2000
-6,15,1000
-6,21,0
-6,27,3500
-6,33,0
-6,39,1500
-6,45,0
-6,51,1500
-6,57,1500
-6,63,2500
-6,69,0
-6,75,0
-6,81,0
-6,87,500
-6,93,0
-6,99,500
-7,05,0
-7,11,500
-7,17,0
-7,23,0
-7,29,500
-7,35,0
-7,41,0
-7,47,0
-7,53,0
-7,59,0
-7,65,0
-7,71,0
-7,77,0
-7,83,0
-7,89,0
-7,95,0
-8,01,0
-8,07,0
-8,13,0
-8,19,0
-8,25,0
-8,31,0
-8,37,0
-8,43,0
-8,49,0
-8,55,0
-8,61,0
-8,67,0
-8,73,0
-8,79,0
-8,85,0
-8,91,0
-8,97,0
-9,03,0
-9,09,0
-9,15,0
-9,21,0
-9,27,0
-9,33,0
-9,39,0
-9,45,0
-9,51,0
-9,57,0
-9,63,0
-9,69,0
-9,75,0
-9,81,0
-9,87,0
-9,93,0
-9,99,0
-10,05,0
-10,11,0
-10,17,0
-10,23,0
-10,29,0
-10,35,0
-10,41,0
-10,47,0
-10,53,0
-10,59,0
-10,65,0
-10,71,0
-10,77,0
-10,83,0
-10,89,0
-10,95,0
-11,01,0
-11,07,0
-11,13,0
-11,19,0
-11,25,0
-11,31,0
-11,37,0
-11,43,0
-11,49,0
-11,55,0
-11,61,0
-15,0
