10,0
0,96,0
0,92,0
0,88,0
0,84,0
0,8,0
0,76,0
0,72,0
0,68,0
0,64,0
0,6,0
0,56,0
0,52,0
0,48,0
0,44,0
0,4,0
0,36,0
0,32,0
0,28,0
0,24,0
0,2,0
0,16,0
0,12,0
0,08,0
0,0399999999999999,0
0,0
-0,04,0
-0,0800000000000001,0
-0,12,0
-0,16,0
-0,2,0
-0,24,0
-0,28,0
-0,32,80227
-0,36,411866
-0,4,430262
-0,44,368942
-0,48,332150
-0,52,308133
-0,56,268275
-0,6,276962
-0,64,228928
-0,68,213598
-0,72,215131
-0,76,204400
-0,8,204911
-0,84,180383
-0,88,175273
-0,92,202867
-0,96,140525
-1,150234
-1,04,138481
-1,08,122640
-1,12,140525
-1,16,133882
-1,2,128772
-1,24,137459
-1,28,125195
-1,32,121107
-1,36,117019
-1,4,103733
-1,44,123151
-1,48,80738
-1,52,101689
-1,56,121618
-1,6,89425
-1,64,89425
-1,68,91980
-1,72,84826
-1,76,91980
-1,8,78694
-1,84,85848
-1,88,75628
-1,92,76650
-1,96,76139
-2,74606
-2,04,66430
-2,08,69496
-2,12,82271
-2,16,74606
-2,2,75628
-2,24,65408
-2,28,62342
-2,32,67452
-2,36,57232
-2,4,64386
-2,44,65408
-2,48,59787
-2,52,71540
-2,56,57232
-2,6,63364
-2,64,67452
-2,68,60298
-2,72,50589
-2,76,70518
-2,8,53144
-2,84,57743
-2,88,52633
-2,92,59787
-2,96,50589
-3,46501
-3,04,48034
-3,08,44457
-3,12,47523
-3,16,43946
-3,2,42413
-3,24,51100
-3,28,51611
-3,32,56210
-3,36,56210
-3,4,50589
-3,44,43946
-3,48,39858
-3,52,37303
-3,56,36792
-3,6,54677
-3,64,48034
-3,68,41902
-3,72,51611
-3,76,41902
-3,8,38836
-3,84,39347
-3,88,38836
-3,92,46501
-3,96,42924
-4,32193
-4,04,38325
-4,08,46501
-4,12,44457
-4,16,39858
-4,2,40369
-4,24,38836
-4,28,32193
-4,32,48034
-4,36,38836
-4,4,38325
-4,44,39858
-4,48,39858
-4,52,35770
-4,56,44457
-4,6,34748
-4,64,42924
-4,68,38836
-4,72,42413
-4,76,40880
-4,8,32193
-4,84,31171
-4,88,37303
-4,92,33215
-4,96,35259
-5,36792
-5,04,37814
-5,08,32193
-5,12,38836
-5,16,34237
-5,2,33215
-5,24,38325
-5,28,39347
-5,32,32704
-5,36,38836
-5,4,34748
-5,44,38836
-5,48,28616
-5,52,30149
-5,56,35259
-5,6,30660
-5,64,32193
-5,68,34237
-5,72,27594
-5,76,31171
-5,8,34237
-5,84,28105
-5,88,22995
-5,92,24017
-5,96,26572
-6,22484
-6,04,20951
-6,08,18907
-6,12,15330
-6,16,17374
-6,2,12775
-6,24,9709
-6,28,17885
-6,32,12264
-6,36,9198
-6,4,7665
-6,44,6132
-6,48,4088
-6,52,5110
-6,56,3066
-6,6,5110
-6,64,3577
-6,68,6643
-6,72,1533
-6,76,511
-6,8,2555
-6,84,1022
-6,88,0
-6,92,1022
-6,96,0
-7,1533
-7,04,0
-7,08,0
-7,12,1022
-7,16,511
-7,2,0
-7,24,0
-7,28,0
-7,32,0
-7,36,0
-7,4,0
-7,44,0
-7,48,511
-7,52,0
-7,56,0
-7,6,0
-7,64,0
-7,68,0
-7,72,0
-7,76,0
-7,8,0
-7,84,0
-7,88,0
-7,92,0
-7,96,0
-8,0
-8,04,0
-8,08,0
-8,12,0
-8,16,0
-8,2,0
-8,24,0
-8,28,0
-8,32,0
-8,36,0
-8,4,0
-8,44,511
-8,48,0
-8,52,0
-8,56,0
-8,6,0
-8,64,0
-8,68,0
-8,72,0
-8,76,0
-8,8,0
-8,84,0
-8,88,0
-8,92,0
-8,96,0
-9,0
-10,0
